PeakID (cmd=annotatePeaks.pl macs-myeast_summits.bed sacCer3)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
macs-myeast_peak_1667	chrX	228508	228508	+	94.9407	NA	TTS (YJL104W)	TTS (YJL104W)	1181	YJL104W	853340		NM_001181537		PAM16	MIA1|TIM16	import motor complex subunit PAM16	protein-coding
macs-myeast_peak_2726	chrXIV	576627	576627	+	94.4579	NA	promoter-TSS (YNL031C)	promoter-TSS (YNL031C)	-100	YNL030W	855701		NM_001182869		HHF2	-	histone H4	protein-coding
macs-myeast_peak_2592	chrXIV	174635	174635	+	94.413	NA	promoter-TSS (YNL251C)	promoter-TSS (YNL251C)	-320	YNL251C	855470		NM_001183089		NRD1	-	Nrd1 complex RNA-binding subunit	protein-coding
macs-myeast_peak_1276	chrVII	807741	807741	+	94.2075	NA	promoter-TSS (YGR159C)	promoter-TSS (YGR159C)	-85	YGR159C	853064		NM_001181288		NSR1	SHE5	Nsr1p	protein-coding
macs-myeast_peak_2258	chrXII	1002364	1002364	+	93.502	NA	promoter-TSS (YLR431C)	promoter-TSS (YLR431C)	-193	YLR432W	851152		NM_001182320		IMD3	-	IMP dehydrogenase IMD3	protein-coding
macs-myeast_peak_2727	chrXIV	585560	585560	+	92.812	NA	promoter-TSS (YNL025C)	promoter-TSS (YNL025C)	-269	YNL025C	855706		NM_001182864		SSN8	CNC1|GIG3|NUT9|RYE2|SRB11|UME3	cyclin-dependent protein serine/threonine kinase regulator SSN8	protein-coding
macs-myeast_peak_32	chrI	142129	142129	+	92.6403	NA	promoter-TSS (YAL005C)	promoter-TSS (YAL005C)	-45	YAL003W	851260		NM_001178150		EFB1	TEF5	translation elongation factor 1 subunit beta	protein-coding
macs-myeast_peak_1130	chrVII	345954	345954	+	92.2706	NA	promoter-TSS (YGL089C)	promoter-TSS (YGL089C)	118	YGL088W	852792		NM_001348836		YGL088W	-	uncharacterized protein	protein-coding
macs-myeast_peak_2006	chrXII	97574	97574	+	91.6993	NA	promoter-TSS (YLL024C)	promoter-TSS (YLL024C)	-89	YLL024C	850636		NM_001181844		SSA2	YG102	Hsp70 family chaperone SSA2	protein-coding
macs-myeast_peak_1646	chrX	173064	173064	+	91.5528	NA	promoter-TSS (YJL130C)	promoter-TSS (YJL130C)	-697	YJL130C	853311		NM_001181563		URA2	-	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase	protein-coding
macs-myeast_peak_974	chrVI	65003	65003	+	91.446	NA	promoter-TSS (YFL034C-A)	promoter-TSS (YFL034C-A)	-71	YFL034C-A	850509		NM_001184310		RPL22B	YFL035C-B	ribosomal 60S subunit protein L22B	protein-coding
macs-myeast_peak_1968	chrXI	559392	559392	+	91.3161	NA	promoter-TSS (YKR062W)	promoter-TSS (YKR062W)	-274	YKR062W	853936		NM_001179852		TFA2	-	transcription factor TFIIE subunit TFA2	protein-coding
macs-myeast_peak_3000	chrXV	797397	797397	+	90.979	NA	promoter-TSS (YOR246C)	promoter-TSS (YOR246C)	-279	YOR247W	854421		NM_001183666		SRL1	-	Srl1p	protein-coding
macs-myeast_peak_1788	chrX	663713	663713	+	90.8718	NA	promoter-TSS (YJR127C)	promoter-TSS (YJR127C)	-654	YJR127C	853592		NM_001181785		RSF2	ZMS1	Rsf2p	protein-coding
macs-myeast_peak_1700	chrX	349393	349393	+	90.8367	NA	promoter-TSS (YJL048C)	promoter-TSS (YJL048C)	-215	YJL047C-A	1466468		NM_001184635		YJL047C-A	-	uncharacterized protein	protein-coding
macs-myeast_peak_3130	chrXVI	173106	173106	+	90.6964	NA	promoter-TSS (YPL199C)	promoter-TSS (YPL199C)	-46	YPL198W	855903		NM_001184012		RPL7B	-	ribosomal 60S subunit protein L7B	protein-coding
macs-myeast_peak_1504	chrIX	68693	68693	+	90.6578	NA	promoter-TSS (YIL149C)	promoter-TSS (YIL149C)	-15	YIL148W	854658		NM_001179496		RPL40A	CEP52A|UB11|UBI1	ubiquitin-ribosomal 60S subunit protein L40A fusion protein	protein-coding
macs-myeast_peak_3022	chrXV	867064	867064	+	90.0795	NA	promoter-TSS (YOR292C)	promoter-TSS (YOR292C)	-34	YOR293W	854468		NM_001183712		RPS10A	-	ribosomal 40S subunit protein S10A	protein-coding
macs-myeast_peak_1366	chrVIII	75374	75374	+	89.9662	NA	promoter-TSS (YHL015W)	promoter-TSS (YHL015W)	-38	YHL015W	856371		NM_001179095		RPS20	URP2	ribosomal 40S subunit protein S20	protein-coding
macs-myeast_peak_1489	chrVIII	505581	505581	+	89.9338	NA	promoter-TSS (YHR203C)	promoter-TSS (YHR203C)	-51	YHR203C	856610		NM_001179334		RPS4B	-	ribosomal 40S subunit protein S4B	protein-coding
macs-myeast_peak_1192	chrVII	545142	545142	+	89.9122	NA	TTS (YGR029W)	TTS (YGR029W)	1015	YGR030C	852918		NM_001181159		POP6	-	ribonuclease P/MRP protein subunit POP6	protein-coding
macs-myeast_peak_411	chrIV	229860	229860	+	89.667	NA	promoter-TSS (YDL130W)	promoter-TSS (YDL130W)	-46	YDL130W	851427		NM_001180189		RPP1B	RPL44'|RPLA3	ribosomal protein P1B	protein-coding
macs-myeast_peak_822	chrV	123007	123007	+	89.3785	NA	promoter-TSS (YEL017C-A)	promoter-TSS (YEL017C-A)	-78	YEL017C-A	856697		NM_001180029		PMP2	-	proteolipid ATPase	protein-coding
macs-myeast_peak_888	chrV	322192	322192	+	89.059	NA	promoter-TSS (YER081W)	promoter-TSS (YER081W)	-494	YER081W	856814		NM_001178972		SER3	-	phosphoglycerate dehydrogenase SER3	protein-coding
macs-myeast_peak_1992	chrXII	48666	48666	+	88.9034	NA	promoter-TSS (YLL045C)	promoter-TSS (YLL045C)	-37	YLL045C	850682		NM_001181865		RPL8B	KRB1|SCL41	ribosomal 60S subunit protein L8B	protein-coding
macs-myeast_peak_2075	chrXII	348651	348651	+	88.7955	NA	promoter-TSS (YLR105C)	promoter-TSS (YLR105C)	-471	YLR105C	850795		NM_001181992		SEN2	-	tRNA splicing endonuclease subunit SEN2	protein-coding
macs-myeast_peak_127	chrII	332793	332793	+	88.2225	NA	promoter-TSS (YBR048W)	promoter-TSS (YBR048W)	-38	YBR048W	852337		NM_001178396		RPS11B	-	ribosomal 40S subunit protein S11B	protein-coding
macs-myeast_peak_2210	chrXII	819276	819276	+	88.1092	NA	promoter-TSS (YLR344W)	promoter-TSS (YLR344W)	-36	YLR344W	851058		NM_001182233		RPL26A	-	ribosomal 60S subunit protein L26A	protein-coding
macs-myeast_peak_2420	chrXIII	500745	500745	+	88.1055	NA	promoter-TSS (YMR116C)	promoter-TSS (YMR116C)	-57	YMR116C	855143		NM_001182616		ASC1	ASU9|CPC2|NAD1	ribosomal 40S subunit protein ASC1	protein-coding
macs-myeast_peak_1496	chrVIII	554108	554108	+	88.026	NA	promoter-TSS (YHR216W)	promoter-TSS (YHR216W)	-288	YHR216W	856626		NM_001179347		IMD2	PUR5	IMP dehydrogenase IMD2	protein-coding
macs-myeast_peak_1910	chrXI	364617	364617	+	87.8695	NA	promoter-TSS (YKL038W)	promoter-TSS (YKL038W)	-988	YKL038W	853828		NM_001179604		RGT1	-	Rgt1p	protein-coding
macs-myeast_peak_2766	chrXIV	716080	716080	+	87.8469	NA	promoter-TSS (YNR050C)	promoter-TSS (YNR050C)	-692	YNR050C	855786		NM_001183227		LYS9	LYS13	saccharopine dehydrogenase (NADP+, L-glutamate-forming)	protein-coding
macs-myeast_peak_1445	chrVIII	362015	362015	+	87.7928	NA	promoter-TSS (YHR128W)	promoter-TSS (YHR128W)	-100	YHR128W	856529		NM_001179258		FUR1	-	uracil phosphoribosyltransferase	protein-coding
macs-myeast_peak_1310	chrVII	920529	920529	+	87.7105	NA	promoter-TSS (YGR214W)	promoter-TSS (YGR214W)	-46	YGR214W	853128		NM_001181343		RPS0A	NAB1|NAB1A|YST1	ribosomal 40S subunit protein S0A	protein-coding
macs-myeast_peak_1638	chrX	140129	140129	+	87.3948	NA	promoter-TSS (YJL148W)	promoter-TSS (YJL148W)	-308	YJL148W	853293		NM_001181581		RPA34	CST21	DNA-directed RNA polymerase I subunit RPA34	protein-coding
macs-myeast_peak_1224	chrVII	648950	648950	+	87.2617	NA	promoter-TSS (YGR084C)	promoter-TSS (YGR084C)	-43	YGR085C	852976		NM_001181214		RPL11B	-	ribosomal 60S subunit protein L11B	protein-coding
macs-myeast_peak_314	chrIII	163286	163286	+	87.1964	NA	promoter-TSS (YCR024C-B)	promoter-TSS (YCR024C-B)	-219	YCR024C-A	850389		NM_001178739		PMP1	-	proteolipid ATPase	protein-coding
macs-myeast_peak_903	chrV	362713	362713	+	87.162	NA	promoter-TSS (YER101C)	promoter-TSS (YER101C)	-387	YER102W	856839		NM_001178993		RPS8B	-	ribosomal 40S subunit protein S8B	protein-coding
macs-myeast_peak_3074	chrXV	1028694	1028694	+	86.9777	NA	promoter-TSS (YOR369C)	promoter-TSS (YOR369C)	-69	YOR369C	854551		NM_001183789		RPS12	-	ribosomal 40S subunit protein S12	protein-coding
macs-myeast_peak_3012	chrXV	832303	832303	+	86.9759	NA	promoter-TSS (YOR271C)	promoter-TSS (YOR271C)	-261	YOR271C	854445		NM_001183690		FSF1	-	Fsf1p	protein-coding
macs-myeast_peak_3266	chrXVI	654127	654127	+	86.954	NA	promoter-TSS (YPR042C)	promoter-TSS (YPR042C)	-39	YPR043W	856156		NM_001184140		RPL43A	-	ribosomal 60S subunit protein L43A	protein-coding
macs-myeast_peak_3284	chrXVI	700488	700488	+	86.9313	NA	promoter-TSS (YPR080W)	promoter-TSS (YPR080W)	-106	YPR080W	856195		NM_001184177		TEF1	-	translation elongation factor EF-1 alpha	protein-coding
macs-myeast_peak_213	chrII	592812	592812	+	86.7519	NA	promoter-TSS (YBR181C)	promoter-TSS (YBR181C)	-38	YBR181C	852479		NM_001178529		RPS6B	LPG18|RPS101|RPS102	ribosomal 40S subunit protein S6B	protein-coding
macs-myeast_peak_446	chrIV	356954	356954	+	86.7343	NA	promoter-TSS (YDL055C)	promoter-TSS (YDL055C)	-195	YDL055C	851504		NM_001180114		PSA1	MPG1|SRB1|VIG9	mannose-1-phosphate guanylyltransferase	protein-coding
macs-myeast_peak_1795	chrX	703099	703099	+	86.6959	NA	promoter-TSS (YJR145C)	promoter-TSS (YJR145C)	-31	YJR145C	853610		NM_001181803		RPS4A	-	ribosomal 40S subunit protein S4A	protein-coding
macs-myeast_peak_2804	chrXV	110214	110214	+	86.2386	NA	promoter-TSS (YOL109W)	promoter-TSS (YOL109W)	-83	YOL109W	854040		NM_001183363		ZEO1	-	Zeo1p	protein-coding
macs-myeast_peak_1621	chrX	90714	90714	+	85.9272	NA	promoter-TSS (YJL178C)	promoter-TSS (YJL178C)	-72	YJL177W	853262		NM_001181610		RPL17B	-	ribosomal 60S subunit protein L17B	protein-coding
macs-myeast_peak_1475	chrVIII	451220	451220	+	85.5075	NA	promoter-TSS (YHR173C)	promoter-TSS (YHR173C)	-67	YHR173C	856578		NM_001270738		YHR173C	-	uncharacterized protein	protein-coding
macs-myeast_peak_2119	chrXII	522625	522625	+	85.4878	NA	promoter-TSS (YLR183C)	promoter-TSS (YLR183C)	-38	YLR185W	850882		NM_001182072		RPL37A	-	ribosomal 60S subunit protein L37A	protein-coding
macs-myeast_peak_1895	chrXI	327547	327547	+	85.3032	NA	promoter-TSS (YKL060C)	promoter-TSS (YKL060C)	-60	YKL060C	853805		NM_001179626		FBA1	LOT1	fructose-bisphosphate aldolase FBA1	protein-coding
macs-myeast_peak_2797	chrXV	87431	87431	+	85.2398	NA	promoter-TSS (YOL124C)	promoter-TSS (YOL124C)	-413	YOL123W	853997		NM_001183377		HRP1	NAB4|NAB5	Hrp1p	protein-coding
macs-myeast_peak_554	chrIV	721557	721557	+	84.8549	NA	promoter-TSS (YDR133C)	promoter-TSS (YDR133C)	-260	YDR133C								
macs-myeast_peak_1246	chrVII	726943	726943	+	84.8029	NA	promoter-TSS (YGR117C)	promoter-TSS (YGR117C)	-31	YGR118W	853015		NM_001181247		RPS23A	-	ribosomal 40S subunit protein S23A	protein-coding
macs-myeast_peak_970	chrVI	54874	54874	+	84.7739	NA	promoter-TSS (YFL039C)	promoter-TSS (YFL039C)	-178	YFL039C	850504		NM_001179927		ACT1	ABY1|END7	actin	protein-coding
macs-myeast_peak_234	chrII	681897	681897	+	84.6512	NA	TTS (YBR231C)	TTS (YBR231C)	1193	YBR231C	852532		NM_001178579		SWC5	AOR1	Swc5p	protein-coding
macs-myeast_peak_1561	chrIX	267890	267890	+	84.6101	NA	promoter-TSS (YIL047C)	promoter-TSS (YIL047C)	-67	YIL047C	854764		NM_001179397		SYG1	-	Syg1p	protein-coding
macs-myeast_peak_2318	chrXIII	146457	146457	+	84.6051	NA	promoter-TSS (YML064C)	promoter-TSS (YML064C)	-25	YML063W	854939		NM_001182422		RPS1B	PLC2|RP10B	ribosomal 40S subunit protein S1B	protein-coding
macs-myeast_peak_3167	chrXVI	303073	303073	+	84.5754	NA	promoter-TSS (YPL131W)	promoter-TSS (YPL131W)	-48	YPL131W	855972		NM_001183945		RPL5	LPI14|RPL1	ribosomal 60S subunit protein L5	protein-coding
macs-myeast_peak_2102	chrXII	440380	440380	+	84.5502	NA	promoter-TSS (YLR149C)	promoter-TSS (YLR149C)	76	YLR149C-A								
macs-myeast_peak_2248	chrXII	951069	951069	+	84.2162	NA	promoter-TSS (YLR412C-A)	promoter-TSS (YLR412C-A)	-87	YLR413W	851131		NM_001182301		INA1	-	Ina1p	protein-coding
macs-myeast_peak_2264	chrXII	1018953	1018953	+	84.1362	NA	promoter-TSS (YLR441C)	promoter-TSS (YLR441C)	-45	YLR441C	851162		NM_001182329		RPS1A	RP10A	ribosomal 40S subunit protein S1A	protein-coding
macs-myeast_peak_2477	chrXIII	701717	701717	+	84.074	NA	promoter-TSS (YMR216C)	promoter-TSS (YMR216C)	-73	YMR217W	855257		NM_001182724		GUA1	-	GMP synthase (glutamine-hydrolyzing)	protein-coding
macs-myeast_peak_721	chrIV	1269957	1269957	+	84.0551	NA	promoter-TSS (YDR399W)	promoter-TSS (YDR399W)	-111	YDR399W	852008		NM_001180707		HPT1	BRA6	hypoxanthine phosphoribosyltransferase	protein-coding
macs-myeast_peak_2220	chrXII	855824	855824	+	84.0348	NA	promoter-TSS (YLR364C-A)	promoter-TSS (YLR364C-A)	-179	YLR364C-A								
macs-myeast_peak_800	chrV	61081	61081	+	83.897	NA	promoter-TSS (YEL050C)	promoter-TSS (YEL050C)	-230	YEL050C	856660		NM_001178865		RML2	uL2m	mitochondrial 54S ribosomal protein RML2	protein-coding
macs-myeast_peak_2179	chrXII	713182	713182	+	83.8794	NA	promoter-TSS (YLR287C-A)	promoter-TSS (YLR287C-A)	-24	YLR287C-A	850994		NM_001182175		RPS30A	-	ribosomal 40S subunit protein S30A	protein-coding
macs-myeast_peak_1298	chrVII	883923	883923	+	83.7507	NA	promoter-TSS (YGR192C)	promoter-TSS (YGR192C)	-113	YGR192C	853106		NM_001181321		TDH3	GLD1|HSP35|HSP36|SSS2	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH3	protein-coding
macs-myeast_peak_2364	chrXIII	297093	297093	+	83.7224	NA	promoter-TSS (YMR013C)	promoter-TSS (YMR013C)	-355	YMR013C	855026		NM_001182509		SEC59	-	dolichol kinase	protein-coding
macs-myeast_peak_1984	chrXI	618771	618771	+	83.6143	NA	promoter-TSS (YKR094C)	promoter-TSS (YKR094C)	-21	YKR094C	853969		NM_001179884		RPL40B	CEP52B|UB12|UBI2	ubiquitin-ribosomal 60S subunit protein L40B fusion protein	protein-coding
macs-myeast_peak_1321	chrVII	959857	959857	+	83.5774	NA	promoter-TSS (YGR234W)	promoter-TSS (YGR234W)	-47	YGR234W	853149		NM_001181363		YHB1	YHB4	flavohemoglobin	protein-coding
macs-myeast_peak_2626	chrXIV	282062	282062	+	83.3844	NA	promoter-TSS (YNL190W)	promoter-TSS (YNL190W)	-333	YNL190W	855531		NM_001183028		YNL190W	-	uncharacterized protein	protein-coding
macs-myeast_peak_1965	chrXI	551637	551637	+	83.2041	NA	promoter-TSS (YKR057W)	promoter-TSS (YKR057W)	-20	YKR057W	853931		NM_001179847		RPS21A	RPS25	ribosomal 40S subunit protein S21A	protein-coding
macs-myeast_peak_1579	chrIX	316742	316742	+	83.1603	NA	promoter-TSS (YIL018W)	promoter-TSS (YIL018W)	-26	YIL018W	854794		NM_001179368		RPL2B	LOT2|RPL5A	ribosomal 60S subunit protein L2B	protein-coding
macs-myeast_peak_2788	chrXV	61094	61094	+	83.1061	NA	promoter-TSS (YOL139C)	promoter-TSS (YOL139C)	-70	YOL139C	854026		NM_001183393		CDC33	TIF45	translation initiation factor eIF4E	protein-coding
macs-myeast_peak_509	chrIV	556550	556550	+	83.0654	NA	promoter-TSS (YDR050C)	promoter-TSS (YDR050C)	-78	YDR050C	851620		NM_001180358		TPI1	-	triose-phosphate isomerase TPI1	protein-coding
macs-myeast_peak_3280	chrXVI	694984	694984	+	83.0103	NA	promoter-TSS (YPR074C)	promoter-TSS (YPR074C)	-34	YPR074W-A								
macs-myeast_peak_2323	chrXIII	164308	164308	+	82.6514	NA	promoter-TSS (YML056C)	promoter-TSS (YML056C)	-132	YML056C	854948		NM_001182414		IMD4	-	IMP dehydrogenase IMD4	protein-coding
macs-myeast_peak_776	chrIV	1489878	1489878	+	82.4037	NA	promoter-TSS (YDR524C)	promoter-TSS (YDR524C)	-27	YDR525W	852137		NM_001348819		API2	-	Api2p	protein-coding
macs-myeast_peak_798	chrV	53265	53265	+	82.3547	NA	promoter-TSS (YEL054C)	promoter-TSS (YEL054C)	-47	YEL054C	856656		NM_001178869		RPL12A	-	ribosomal 60S subunit protein L12A	protein-coding
macs-myeast_peak_1468	chrVIII	422874	422874	+	82.3483	NA	promoter-TSS (YHR161C)	promoter-TSS (YHR161C)	-198	YHR162W	856567		NM_001179293		MPC2	-	mitochondrial pyruvate carrier	protein-coding
macs-myeast_peak_764	chrIV	1450880	1450880	+	82.2319	NA	promoter-TSS (YDR500C)	promoter-TSS (YDR500C)	-27	YDR500C	852111		NM_001180808		RPL37B	-	ribosomal 60S subunit protein L37B	protein-coding
macs-myeast_peak_1213	chrVII	609378	609378	+	82.2314	NA	TTS (YGR059W)	TTS (YGR059W)	-1186	YGR060W	852951		NM_001181189		ERG25	-	methylsterol monooxygenase	protein-coding
macs-myeast_peak_2920	chrXV	505750	505750	+	82.1364	NA	promoter-TSS (YOR096W)	promoter-TSS (YOR096W)	-44	YOR096W	854263		NM_001183515		RPS7A	RPS30	ribosomal 40S subunit protein S7A	protein-coding
macs-myeast_peak_923	chrV	424667	424667	+	82.0502	NA	TTS (YER131W)	TTS (YER131W)	715	YER131W	856868		NM_001179021		RPS26B	-	ribosomal 40S subunit protein S26B	protein-coding
macs-myeast_peak_1267	chrVII	788197	788197	+	81.8486	NA	promoter-TSS (YGR148C)	promoter-TSS (YGR148C)	-418	YGR148C	853051		NM_001181277		RPL24B	RPL30B	ribosomal 60S subunit protein L24B	protein-coding
macs-myeast_peak_2222	chrXII	867201	867201	+	81.7828	NA	promoter-TSS (YLR372W)	promoter-TSS (YLR372W)	-153	YLR372W	851087		NM_001182261		ELO3	APA1|SRE1|SUR4|VBM1	fatty acid elongase ELO3	protein-coding
macs-myeast_peak_2292	chrXIII	68028	68028	+	81.7494	NA	promoter-TSS (YML103C)	promoter-TSS (YML103C)	-266	YML102W	854869		NM_001182464		CAC2	-	Cac2p	protein-coding
macs-myeast_peak_2456	chrXIII	632261	632261	+	81.6391	NA	promoter-TSS (YMR186W)	promoter-TSS (YMR186W)	-94	YMR186W	855224		NM_001182692		HSC82	HSP90	Hsp90 family chaperone HSC82	protein-coding
macs-myeast_peak_828	chrV	140369	140369	+	81.5792	NA	promoter-TSS (YEL009C)	promoter-TSS (YEL009C)	-143	YEL008W	856710		NM_001348823		YEL008W	-	uncharacterized protein	protein-coding
macs-myeast_peak_522	chrIV	600716	600716	+	81.569	NA	promoter-TSS (YDR077W)	promoter-TSS (YDR077W)	-77	YDR077W	851649		NM_001180385		SED1	-	Sed1p	protein-coding
macs-myeast_peak_2311	chrXIII	124194	124194	+	81.4371	NA	promoter-TSS (YML073C)	promoter-TSS (YML073C)	-22	YML073C	854902		NM_001182432		RPL6A	YL16A	ribosomal 60S subunit protein L6A	protein-coding
macs-myeast_peak_752	chrIV	1402896	1402896	+	81.3907	NA	promoter-TSS (YDR472W)	promoter-TSS (YDR472W)	-426	YDR472W	852083		NM_001180780		TRS31	-	TRAPP subunit TRS31	protein-coding
macs-myeast_peak_1775	chrX	620581	620581	+	81.3699	NA	promoter-TSS (YJR102C)	promoter-TSS (YJR102C)	-173	YJR103W	853567		NM_001181761		URA8	-	CTP synthase URA8	protein-coding
macs-myeast_peak_730	chrIV	1301581	1301581	+	81.1589	NA	promoter-TSS (YDR418W)	promoter-TSS (YDR418W)	-35	YDR418W	852026		NM_001180726		RPL12B	-	ribosomal 60S subunit protein L12B	protein-coding
macs-myeast_peak_52	chrII	60769	60769	+	81.0841	NA	promoter-TSS (YBL087C)	promoter-TSS (YBL087C)	-30	YBL087C	852191		NM_001178327		RPL23A	-	ribosomal 60S subunit protein L23A	protein-coding
macs-myeast_peak_158	chrII	415289	415289	+	80.8531	NA	promoter-TSS (YBR084C-A)	promoter-TSS (YBR084C-A)	-28	YBR084C-A	852379		NM_001180057		RPL19A	-	ribosomal 60S subunit protein L19A	protein-coding
macs-myeast_peak_1093	chrVII	228374	228374	+	80.8387	NA	promoter-TSS (YGL147C)	promoter-TSS (YGL147C)	-45	YGL147C	852730		NM_001181012		RPL9A	-	ribosomal 60S subunit protein L9A	protein-coding
macs-myeast_peak_2322	chrXIII	159335	159335	+	80.8003	NA	promoter-TSS (YML058W)	promoter-TSS (YML058W)	-48	YML058W	854945		NM_001182417		SML1	-	ribonucleotide reductase inhibiting protein SML1	protein-coding
macs-myeast_peak_2216	chrXII	839363	839363	+	80.7708	NA	promoter-TSS (YLR355C)	promoter-TSS (YLR355C)	-110	YLR355C	851069		NM_001182244		ILV5	-	ketol-acid reductoisomerase	protein-coding
macs-myeast_peak_515	chrIV	579427	579427	+	80.5608	NA	promoter-TSS (YDR064W)	promoter-TSS (YDR064W)	-31	YDR064W	851636		NM_001180372		RPS13	RPS13B|RPS13C	ribosomal 40S subunit protein S13	protein-coding
macs-myeast_peak_101	chrII	236367	236367	+	80.4744	NA	promoter-TSS (YBL003C)	promoter-TSS (YBL003C)	-125	YBL002W	852284		NM_001178242		HTB2	-	histone H2B	protein-coding
macs-myeast_peak_2961	chrXV	649040	649040	+	80.3889	NA	promoter-TSS (YOR166C)	promoter-TSS (YOR166C)	-33	YOR167C	854338		NM_001183586		RPS28A	RPS33A	ribosomal 40S subunit protein S28A	protein-coding
macs-myeast_peak_3030	chrXV	882601	882601	+	80.3752	NA	promoter-TSS (YOR302W)	promoter-TSS (YOR302W)	-164	YOR302W	854478		NM_001183721		YOR302W	-	uncharacterized protein	protein-coding
macs-myeast_peak_1195	chrVII	555773	555773	+	80.3204	NA	promoter-TSS (YGR033C)	promoter-TSS (YGR033C)	-39	YGR034W	852922		NM_001181163		RPL26B	-	ribosomal 60S subunit protein L26B	protein-coding
macs-myeast_peak_50	chrII	45595	45595	+	80.2448	NA	promoter-TSS (YBL093C)	promoter-TSS (YBL093C)	-383	YBL092W	852185		NM_001178332		RPL32	-	ribosomal 60S subunit protein L32	protein-coding
macs-myeast_peak_3189	chrXVI	378429	378429	+	80.2143	NA	promoter-TSS (YPL090C)	promoter-TSS (YPL090C)	-34	YPL090C	856015		NM_001183904		RPS6A	-	ribosomal 40S subunit protein S6A	protein-coding
macs-myeast_peak_2967	chrXV	678798	678798	+	80.162	NA	promoter-TSS (YOR182C)	promoter-TSS (YOR182C)	-5	YOR182C	854354		NM_001183601		RPS30B	-	ribosomal 40S subunit protein S30B	protein-coding
macs-myeast_peak_2243	chrXII	931809	931809	+	79.8369	NA	promoter-TSS (YLR406C)	promoter-TSS (YLR406C)	-54	YLR406C	851122		NM_001182294		RPL31B	-	ribosomal 60S subunit protein L31B	protein-coding
