PeakID (cmd=annotatePeaks.pl macs-myeast_summits.bed sacCer3)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
macs-myeast_peak_1321	NC_001139.9	959857	959857	+	83.5774	NA	NA	NA	NA	NA								
macs-myeast_peak_2626	NC_001146.8	282062	282062	+	83.3844	NA	NA	NA	NA	NA								
macs-myeast_peak_1965	NC_001143.9	551637	551637	+	83.2041	NA	NA	NA	NA	NA								
macs-myeast_peak_1579	NC_001141.2	316742	316742	+	83.1603	NA	NA	NA	NA	NA								
macs-myeast_peak_2788	NC_001147.6	61094	61094	+	83.1061	NA	NA	NA	NA	NA								
macs-myeast_peak_509	NC_001136.10	556550	556550	+	83.0654	NA	NA	NA	NA	NA								
macs-myeast_peak_3280	NC_001148.4	694984	694984	+	83.0103	NA	NA	NA	NA	NA								
macs-myeast_peak_2323	NC_001145.3	164308	164308	+	82.6514	NA	NA	NA	NA	NA								
macs-myeast_peak_776	NC_001136.10	1489878	1489878	+	82.4037	NA	NA	NA	NA	NA								
macs-myeast_peak_798	NC_001137.3	53265	53265	+	82.3547	NA	NA	NA	NA	NA								
macs-myeast_peak_1468	NC_001140.6	422874	422874	+	82.3483	NA	NA	NA	NA	NA								
macs-myeast_peak_764	NC_001136.10	1450880	1450880	+	82.2319	NA	NA	NA	NA	NA								
macs-myeast_peak_1213	NC_001139.9	609378	609378	+	82.2314	NA	NA	NA	NA	NA								
macs-myeast_peak_2920	NC_001147.6	505750	505750	+	82.1364	NA	NA	NA	NA	NA								
macs-myeast_peak_923	NC_001137.3	424667	424667	+	82.0502	NA	NA	NA	NA	NA								
macs-myeast_peak_1267	NC_001139.9	788197	788197	+	81.8486	NA	NA	NA	NA	NA								
macs-myeast_peak_2222	NC_001144.5	867201	867201	+	81.7828	NA	NA	NA	NA	NA								
macs-myeast_peak_2292	NC_001145.3	68028	68028	+	81.7494	NA	NA	NA	NA	NA								
macs-myeast_peak_2456	NC_001145.3	632261	632261	+	81.6391	NA	NA	NA	NA	NA								
macs-myeast_peak_828	NC_001137.3	140369	140369	+	81.5792	NA	NA	NA	NA	NA								
macs-myeast_peak_522	NC_001136.10	600716	600716	+	81.569	NA	NA	NA	NA	NA								
macs-myeast_peak_2311	NC_001145.3	124194	124194	+	81.4371	NA	NA	NA	NA	NA								
macs-myeast_peak_752	NC_001136.10	1402896	1402896	+	81.3907	NA	NA	NA	NA	NA								
macs-myeast_peak_1775	NC_001142.9	620581	620581	+	81.3699	NA	NA	NA	NA	NA								
macs-myeast_peak_730	NC_001136.10	1301581	1301581	+	81.1589	NA	NA	NA	NA	NA								
macs-myeast_peak_52	NC_001134.8	60769	60769	+	81.0841	NA	NA	NA	NA	NA								
macs-myeast_peak_158	NC_001134.8	415289	415289	+	80.8531	NA	NA	NA	NA	NA								
macs-myeast_peak_1093	NC_001139.9	228374	228374	+	80.8387	NA	NA	NA	NA	NA								
macs-myeast_peak_2322	NC_001145.3	159335	159335	+	80.8003	NA	NA	NA	NA	NA								
macs-myeast_peak_2216	NC_001144.5	839363	839363	+	80.7708	NA	NA	NA	NA	NA								
macs-myeast_peak_515	NC_001136.10	579427	579427	+	80.5608	NA	NA	NA	NA	NA								
macs-myeast_peak_101	NC_001134.8	236367	236367	+	80.4744	NA	NA	NA	NA	NA								
macs-myeast_peak_2961	NC_001147.6	649040	649040	+	80.3889	NA	NA	NA	NA	NA								
macs-myeast_peak_3030	NC_001147.6	882601	882601	+	80.3752	NA	NA	NA	NA	NA								
macs-myeast_peak_1195	NC_001139.9	555773	555773	+	80.3204	NA	NA	NA	NA	NA								
macs-myeast_peak_50	NC_001134.8	45595	45595	+	80.2448	NA	NA	NA	NA	NA								
macs-myeast_peak_3189	NC_001148.4	378429	378429	+	80.2143	NA	NA	NA	NA	NA								
macs-myeast_peak_2967	NC_001147.6	678798	678798	+	80.162	NA	NA	NA	NA	NA								
macs-myeast_peak_2243	NC_001144.5	931809	931809	+	79.8369	NA	NA	NA	NA	NA								
macs-myeast_peak_2607	NC_001146.8	230692	230692	+	79.5639	NA	NA	NA	NA	NA								
macs-myeast_peak_306	NC_001135.5	137656	137656	+	79.5469	NA	NA	NA	NA	NA								
macs-myeast_peak_3015	NC_001147.6	842366	842366	+	79.2822	NA	NA	NA	NA	NA								
macs-myeast_peak_2110	NC_001144.5	498880	498880	+	79.2352	NA	NA	NA	NA	NA								
macs-myeast_peak_2230	NC_001144.5	898125	898125	+	79.0404	NA	NA	NA	NA	NA								
macs-myeast_peak_3309	NC_001148.4	794949	794949	+	79.0071	NA	NA	NA	NA	NA								
macs-myeast_peak_2196	NC_001144.5	781402	781402	+	78.8612	NA	NA	NA	NA	NA								
macs-myeast_peak_855	NC_001137.3	225258	225258	+	78.8461	NA	NA	NA	NA	NA								
macs-myeast_peak_2469	NC_001145.3	674859	674859	+	78.7254	NA	NA	NA	NA	NA								
macs-myeast_peak_1106	NC_001139.9	277541	277541	+	78.6818	NA	NA	NA	NA	NA								
macs-myeast_peak_1018	NC_001138.5	221453	221453	+	78.6662	NA	NA	NA	NA	NA								
macs-myeast_peak_443	NC_001136.10	341239	341239	+	78.648	NA	NA	NA	NA	NA								
macs-myeast_peak_3068	NC_001147.6	1004510	1004510	+	78.4832	NA	NA	NA	NA	NA								
macs-myeast_peak_2569	NC_001146.8	89043	89043	+	78.4433	NA	NA	NA	NA	NA								
macs-myeast_peak_2836	NC_001147.6	233746	233746	+	78.4129	NA	NA	NA	NA	NA								
macs-myeast_peak_1802	NC_001143.9	38638	38638	+	78.4096	NA	NA	NA	NA	NA								
macs-myeast_peak_1872	NC_001143.9	259190	259190	+	78.3122	NA	NA	NA	NA	NA								
macs-myeast_peak_409	NC_001136.10	221904	221904	+	78.1429	NA	NA	NA	NA	NA								
macs-myeast_peak_2546	NC_001146.8	23996	23996	+	78.0527	NA	NA	NA	NA	NA								
macs-myeast_peak_712	NC_001136.10	1243129	1243129	+	77.9715	NA	NA	NA	NA	NA								
macs-myeast_peak_2423	NC_001145.3	511242	511242	+	77.4268	NA	NA	NA	NA	NA								
macs-myeast_peak_496	NC_001136.10	507820	507820	+	77.3995	NA	NA	NA	NA	NA								
macs-myeast_peak_151	NC_001134.8	392899	392899	+	77.3525	NA	NA	NA	NA	NA								
macs-myeast_peak_1122	NC_001139.9	310927	310927	+	77.2639	NA	NA	NA	NA	NA								
macs-myeast_peak_2799	NC_001147.6	94437	94437	+	77.2534	NA	NA	NA	NA	NA								
macs-myeast_peak_2700	NC_001146.8	499598	499598	+	77.2284	NA	NA	NA	NA	NA								
macs-myeast_peak_976	NC_001138.5	75105	75105	+	77.1117	NA	NA	NA	NA	NA								
macs-myeast_peak_59	NC_001134.8	88002	88002	+	76.9601	NA	NA	NA	NA	NA								
macs-myeast_peak_2050	NC_001144.5	253760	253760	+	76.9474	NA	NA	NA	NA	NA								
macs-myeast_peak_3205	NC_001148.4	432516	432516	+	76.8956	NA	NA	NA	NA	NA								
macs-myeast_peak_803	NC_001137.3	68929	68929	+	76.8781	NA	NA	NA	NA	NA								
macs-myeast_peak_2046	NC_001144.5	242182	242182	+	76.7864	NA	NA	NA	NA	NA								
macs-myeast_peak_2460	NC_001145.3	652244	652244	+	76.7671	NA	NA	NA	NA	NA								
macs-myeast_peak_360	NC_001136.10	44022	44022	+	76.724	NA	NA	NA	NA	NA								
macs-myeast_peak_2079	NC_001144.5	370185	370185	+	76.3643	NA	NA	NA	NA	NA								
macs-myeast_peak_2184	NC_001144.5	728797	728797	+	76.1269	NA	NA	NA	NA	NA								
macs-myeast_peak_1822	NC_001143.9	109239	109239	+	76.0728	NA	NA	NA	NA	NA								
macs-myeast_peak_2231	NC_001144.5	899156	899156	+	76.0408	NA	NA	NA	NA	NA								
macs-myeast_peak_321	NC_001135.5	178250	178250	+	76.0224	NA	NA	NA	NA	NA								
macs-myeast_peak_60	NC_001134.8	89468	89468	+	75.9216	NA	NA	NA	NA	NA								
macs-myeast_peak_491	NC_001136.10	491480	491480	+	75.873	NA	NA	NA	NA	NA								
macs-myeast_peak_751	NC_001136.10	1401728	1401728	+	75.812	NA	NA	NA	NA	NA								
macs-myeast_peak_1931	NC_001143.9	431869	431869	+	75.7925	NA	NA	NA	NA	NA								
macs-myeast_peak_1304	NC_001139.9	904871	904871	+	75.7281	NA	NA	NA	NA	NA								
macs-myeast_peak_769	NC_001136.10	1468528	1468528	+	75.6358	NA	NA	NA	NA	NA								
macs-myeast_peak_2770	NC_001146.8	723175	723175	+	75.4812	NA	NA	NA	NA	NA								
macs-myeast_peak_1771	NC_001142.9	608275	608275	+	75.4762	NA	NA	NA	NA	NA								
macs-myeast_peak_1386	NC_001140.6	148718	148718	+	75.3878	NA	NA	NA	NA	NA								
macs-myeast_peak_1840	NC_001143.9	164457	164457	+	75.3494	NA	NA	NA	NA	NA								
macs-myeast_peak_949	NC_001137.3	510216	510216	+	75.3164	NA	NA	NA	NA	NA								
macs-myeast_peak_2063	NC_001144.5	282882	282882	+	75.2894	NA	NA	NA	NA	NA								
macs-myeast_peak_116	NC_001134.8	291944	291944	+	75.235	NA	NA	NA	NA	NA								
macs-myeast_peak_2591	NC_001146.8	167828	167828	+	75.2253	NA	NA	NA	NA	NA								
macs-myeast_peak_1556	NC_001141.2	249695	249695	+	75.2009	NA	NA	NA	NA	NA								
macs-myeast_peak_1355	NC_001140.6	36086	36086	+	75.1977	NA	NA	NA	NA	NA								
macs-myeast_peak_1043	NC_001139.9	56152	56152	+	75.087	NA	NA	NA	NA	NA								
macs-myeast_peak_1454	NC_001140.6	381503	381503	+	75.0699	NA	NA	NA	NA	NA								
macs-myeast_peak_3197	NC_001148.4	404878	404878	+	75.0643	NA	NA	NA	NA	NA								
macs-myeast_peak_2702	NC_001146.8	507315	507315	+	75.0259	NA	NA	NA	NA	NA								
macs-myeast_peak_922	NC_001137.3	423550	423550	+	74.9897	NA	NA	NA	NA	NA								
macs-myeast_peak_378	NC_001136.10	116253	116253	+	74.9775	NA	NA	NA	NA	NA								
macs-myeast_peak_2798	NC_001147.6	92884	92884	+	74.8623	NA	NA	NA	NA	NA								
macs-myeast_peak_1176	NC_001139.9	482956	482956	+	74.8058	NA	NA	NA	NA	NA								
macs-myeast_peak_2489	NC_001145.3	754229	754229	+	74.8033	NA	NA	NA	NA	NA								
macs-myeast_peak_392	NC_001136.10	155954	155954	+	74.7933	NA	NA	NA	NA	NA								
macs-myeast_peak_2995	NC_001147.6	780071	780071	+	74.6726	NA	NA	NA	NA	NA								
macs-myeast_peak_608	NC_001136.10	914794	914794	+	74.6554	NA	NA	NA	NA	NA								
macs-myeast_peak_2268	NC_001144.5	1028825	1028825	+	74.5817	NA	NA	NA	NA	NA								
macs-myeast_peak_912	NC_001137.3	396725	396725	+	74.5379	NA	NA	NA	NA	NA								
macs-myeast_peak_2994	NC_001147.6	779439	779439	+	74.4403	NA	NA	NA	NA	NA								
macs-myeast_peak_1290	NC_001139.9	859518	859518	+	74.3826	NA	NA	NA	NA	NA								
macs-myeast_peak_1643	NC_001142.9	157291	157291	+	74.3456	NA	NA	NA	NA	NA								
macs-myeast_peak_3056	NC_001147.6	967795	967795	+	74.2572	NA	NA	NA	NA	NA								
macs-myeast_peak_809	NC_001137.3	85567	85567	+	74.0764	NA	NA	NA	NA	NA								
macs-myeast_peak_2890	NC_001147.6	408177	408177	+	73.8879	NA	NA	NA	NA	NA								
macs-myeast_peak_2044	NC_001144.5	234163	234163	+	73.8614	NA	NA	NA	NA	NA								
macs-myeast_peak_1557	NC_001141.2	255049	255049	+	73.845	NA	NA	NA	NA	NA								
macs-myeast_peak_2793	NC_001147.6	80324	80324	+	73.7545	NA	NA	NA	NA	NA								
macs-myeast_peak_738	NC_001136.10	1355589	1355589	+	73.7452	NA	NA	NA	NA	NA								
macs-myeast_peak_815	NC_001137.3	101830	101830	+	73.7271	NA	NA	NA	NA	NA								
macs-myeast_peak_1709	NC_001142.9	381262	381262	+	73.6505	NA	NA	NA	NA	NA								
macs-myeast_peak_499	NC_001136.10	521728	521728	+	73.6447	NA	NA	NA	NA	NA								
macs-myeast_peak_1035	NC_001139.9	23856	23856	+	73.5806	NA	NA	NA	NA	NA								
macs-myeast_peak_609	NC_001136.10	915418	915418	+	73.5535	NA	NA	NA	NA	NA								
macs-myeast_peak_2633	NC_001146.8	302640	302640	+	73.4147	NA	NA	NA	NA	NA								
macs-myeast_peak_1854	NC_001143.9	208136	208136	+	73.3912	NA	NA	NA	NA	NA								
macs-myeast_peak_2699	NC_001146.8	495012	495012	+	73.3673	NA	NA	NA	NA	NA								
macs-myeast_peak_379	NC_001136.10	117639	117639	+	73.29	NA	NA	NA	NA	NA								
macs-myeast_peak_1367	NC_001140.6	81744	81744	+	73.0328	NA	NA	NA	NA	NA								
macs-myeast_peak_217	NC_001134.8	614055	614055	+	72.9824	NA	NA	NA	NA	NA								
macs-myeast_peak_1373	NC_001140.6	104264	104264	+	72.9749	NA	NA	NA	NA	NA								
macs-myeast_peak_2035	NC_001144.5	198749	198749	+	72.9411	NA	NA	NA	NA	NA								
macs-myeast_peak_3101	NC_001148.4	76280	76280	+	72.883	NA	NA	NA	NA	NA								
macs-myeast_peak_806	NC_001137.3	78010	78010	+	72.7771	NA	NA	NA	NA	NA								
macs-myeast_peak_2905	NC_001147.6	444627	444627	+	72.7431	NA	NA	NA	NA	NA								
macs-myeast_peak_1019	NC_001138.5	223799	223799	+	72.6817	NA	NA	NA	NA	NA								
macs-myeast_peak_2153	NC_001144.5	636715	636715	+	72.6609	NA	NA	NA	NA	NA								
macs-myeast_peak_2205	NC_001144.5	805838	805838	+	72.4748	NA	NA	NA	NA	NA								
macs-myeast_peak_370	NC_001136.10	87487	87487	+	72.4325	NA	NA	NA	NA	NA								
macs-myeast_peak_3161	NC_001148.4	281560	281560	+	72.43	NA	NA	NA	NA	NA								
macs-myeast_peak_2280	NC_001145.3	25881	25881	+	72.4185	NA	NA	NA	NA	NA								
macs-myeast_peak_1380	NC_001140.6	126482	126482	+	72.3833	NA	NA	NA	NA	NA								
macs-myeast_peak_551	NC_001136.10	704160	704160	+	72.365	NA	NA	NA	NA	NA								
macs-myeast_peak_2201	NC_001144.5	795220	795220	+	72.242	NA	NA	NA	NA	NA								
macs-myeast_peak_2432	NC_001145.3	551220	551220	+	71.9862	NA	NA	NA	NA	NA								
macs-myeast_peak_2559	NC_001146.8	62973	62973	+	71.9723	NA	NA	NA	NA	NA								
macs-myeast_peak_3067	NC_001147.6	1003951	1003951	+	71.9091	NA	NA	NA	NA	NA								
macs-myeast_peak_858	NC_001137.3	237159	237159	+	71.8963	NA	NA	NA	NA	NA								
macs-myeast_peak_840	NC_001137.3	167583	167583	+	71.8243	NA	NA	NA	NA	NA								
macs-myeast_peak_3316	NC_001148.4	821718	821718	+	71.6648	NA	NA	NA	NA	NA								
macs-myeast_peak_2841	NC_001147.6	253622	253622	+	71.6184	NA	NA	NA	NA	NA								
macs-myeast_peak_193	NC_001134.8	532237	532237	+	71.4968	NA	NA	NA	NA	NA								
macs-myeast_peak_2453	NC_001145.3	626195	626195	+	71.2905	NA	NA	NA	NA	NA								
macs-myeast_peak_1214	NC_001139.9	610447	610447	+	71.2902	NA	NA	NA	NA	NA								
macs-myeast_peak_1221	NC_001139.9	640774	640774	+	71.2714	NA	NA	NA	NA	NA								
macs-myeast_peak_1279	NC_001139.9	823998	823998	+	71.2043	NA	NA	NA	NA	NA								
macs-myeast_peak_1832	NC_001143.9	142934	142934	+	71.2043	NA	NA	NA	NA	NA								
macs-myeast_peak_1160	NC_001139.9	439023	439023	+	71.0338	NA	NA	NA	NA	NA								
macs-myeast_peak_1785	NC_001142.9	651868	651868	+	71.0141	NA	NA	NA	NA	NA								
macs-myeast_peak_2491	NC_001145.3	759514	759514	+	70.962	NA	NA	NA	NA	NA								
macs-myeast_peak_2348	NC_001145.3	253065	253065	+	70.9613	NA	NA	NA	NA	NA								
macs-myeast_peak_2616	NC_001146.8	252031	252031	+	70.9356	NA	NA	NA	NA	NA								
macs-myeast_peak_1324	NC_001139.9	974011	974011	+	70.9145	NA	NA	NA	NA	NA								
macs-myeast_peak_1745	NC_001142.9	526243	526243	+	70.8389	NA	NA	NA	NA	NA								
macs-myeast_peak_1732	NC_001142.9	454798	454798	+	70.7266	NA	NA	NA	NA	NA								
macs-myeast_peak_77	NC_001134.8	145803	145803	+	70.7017	NA	NA	NA	NA	NA								
macs-myeast_peak_615	NC_001136.10	930456	930456	+	70.6875	NA	NA	NA	NA	NA								
macs-myeast_peak_215	NC_001134.8	604461	604461	+	70.6335	NA	NA	NA	NA	NA								
macs-myeast_peak_1342	NC_001139.9	1050080	1050080	+	70.6317	NA	NA	NA	NA	NA								
macs-myeast_peak_2167	NC_001144.5	673097	673097	+	70.6081	NA	NA	NA	NA	NA								
macs-myeast_peak_539	NC_001136.10	652678	652678	+	70.5956	NA	NA	NA	NA	NA								
macs-myeast_peak_2682	NC_001146.8	444363	444363	+	70.3812	NA	NA	NA	NA	NA								
macs-myeast_peak_1632	NC_001142.9	120368	120368	+	70.2079	NA	NA	NA	NA	NA								
macs-myeast_peak_3221	NC_001148.4	481954	481954	+	70.1881	NA	NA	NA	NA	NA								
macs-myeast_peak_2289	NC_001145.3	56504	56504	+	69.8483	NA	NA	NA	NA	NA								
macs-myeast_peak_3317	NC_001148.4	822538	822538	+	69.8483	NA	NA	NA	NA	NA								
macs-myeast_peak_1512	NC_001141.2	96852	96852	+	69.7712	NA	NA	NA	NA	NA								
macs-myeast_peak_3313	NC_001148.4	812707	812707	+	69.3831	NA	NA	NA	NA	NA								
macs-myeast_peak_13	NC_001133.9	71683	71683	+	69.2885	NA	NA	NA	NA	NA								
macs-myeast_peak_1838	NC_001143.9	158607	158607	+	69.1183	NA	NA	NA	NA	NA								
macs-myeast_peak_2340	NC_001145.3	225852	225852	+	69.1017	NA	NA	NA	NA	NA								
macs-myeast_peak_2671	NC_001146.8	413568	413568	+	68.8011	NA	NA	NA	NA	NA								
macs-myeast_peak_229	NC_001134.8	662466	662466	+	68.7764	NA	NA	NA	NA	NA								
macs-myeast_peak_1616	NC_001142.9	73744	73744	+	68.7689	NA	NA	NA	NA	NA								
macs-myeast_peak_1057	NC_001139.9	95751	95751	+	68.5669	NA	NA	NA	NA	NA								
macs-myeast_peak_2842	NC_001147.6	254255	254255	+	68.3739	NA	NA	NA	NA	NA								
macs-myeast_peak_2641	NC_001146.8	331278	331278	+	68.3467	NA	NA	NA	NA	NA								
macs-myeast_peak_1513	NC_001141.2	99449	99449	+	68.2907	NA	NA	NA	NA	NA								
macs-myeast_peak_1147	NC_001139.9	398538	398538	+	68.2892	NA	NA	NA	NA	NA								
macs-myeast_peak_3026	NC_001147.6	877771	877771	+	68.1936	NA	NA	NA	NA	NA								
macs-myeast_peak_979	NC_001138.5	82527	82527	+	68.1725	NA	NA	NA	NA	NA								
macs-myeast_peak_708	NC_001136.10	1236421	1236421	+	68.1724	NA	NA	NA	NA	NA								
